,DET_FLIP_ONE_BIT,DET_FLIP_TWO_BITS,DET_FLIP_FOUR_BITS,DET_FLIP_ONE_BYTE,DET_FLIP_TWO_BYTES,DET_FLIP_FOUR_BYTES,DET_ARITH_ADD_ONE,DET_ARITH_SUB_ONE,DET_ARITH_ADD_TWO_LE,DET_ARITH_SUB_TWO_LE,DET_ARITH_ADD_TWO_BIG,DET_ARITH_SUB_TWO_BIG,DET_ARITH_ADD_FOUR_LE,DET_ARITH_SUB_FOUR_LE,DET_ARITH_ADD_FOUR_BIG,DET_ARITH_SUB_FOUR_BIG,INTERESTING_BYTE,INTERESTING_TWO_BYTES_LE,INTERESTING_TWO_BYTES_BIG,INTERESTING_FOUR_BYTES_LE,INTERESTING_FOUR_BYTES_BIG,HAVOC_MUT_FLIPBIT,HAVOC_MUT_INTERESTING8,HAVOC_MUT_INTERESTING16,HAVOC_MUT_INTERESTING16BE,HAVOC_MUT_INTERESTING32,HAVOC_MUT_INTERESTING32BE,HAVOC_MUT_ARITH8_,HAVOC_MUT_ARITH8,HAVOC_MUT_ARITH16_,HAVOC_MUT_ARITH16BE_,HAVOC_MUT_ARITH16,HAVOC_MUT_ARITH16BE,HAVOC_MUT_ARITH32_,HAVOC_MUT_ARITH32BE_,HAVOC_MUT_ARITH32,HAVOC_MUT_ARITH32BE,HAVOC_MUT_RAND8,HAVOC_MUT_BYTEADD,HAVOC_MUT_BYTESUB,HAVOC_MUT_FLIP8,DICTIONARY_USER_EXTRAS_OVER,DICTIONARY_USER_EXTRAS_INSERT,DICTIONARY_AUTO_EXTRAS_OVER,DICTIONARY_AUTO_EXTRAS_INSERT,CUSTOM_MUTATOR,HAVOC
3077,0.147698,0.014636,0.014636,0.031969,0.001195,0,0.300512,0.296675,0.159498,0.170848,0.185484,0.186679,0,0,0,0,0,0,0,0,0,0.147698,0,0,0,0,0,0.296675,0.300512,0.170848,0.186679,0.159498,0.185484,0,0,0,0,0,0.300512,0.296675,0,0,0,0,0,0,0
3078,0.263158,0.000000,0.000000,0.105263,0.000000,0,0.421053,0.421053,0.181818,0.227273,0.159091,0.193182,0,0,0,0,0,0,0,0,0,0.263158,0,0,0,0,0,0.421053,0.421053,0.227273,0.193182,0.181818,0.159091,0,0,0,0,0,0.421053,0.421053,0,0,0,0,0,0,0
3081,0.130546,0.013640,0.013640,0.030717,0.000426,0,0.300341,0.282423,0.166240,0.170077,0.190111,0.184569,0,0,0,0,0,0,0,0,0,0.130546,0,0,0,0,0,0.282423,0.300341,0.170077,0.184569,0.166240,0.190111,0,0,0,0,0,0.300341,0.282423,0,0,0,0,0,0,0
3082,0.139435,0.013819,0.013819,0.031651,0.001256,0,0.295124,0.286570,0.168760,0.169179,0.195142,0.179648,0,0,0,0,0,0,0,0,0,0.139435,0,0,0,0,0,0.286570,0.295124,0.169179,0.179648,0.168760,0.195142,0,0,0,0,0,0.295124,0.286570,0,0,0,0,0,0,0
3083,0.318182,0.000000,0.000000,0.090909,0.000000,0,0.590909,0.318182,0.166667,0.166667,0.222222,0.166667,0,0,0,0,0,0,0,0,0,0.318182,0,0,0,0,0,0.318182,0.590909,0.166667,0.166667,0.166667,0.222222,0,0,0,0,0,0.590909,0.318182,0,0,0,0,0,0,0
3086,0.136788,0.011469,0.011469,0.034197,0.001092,0,0.291192,0.278756,0.157291,0.169853,0.203168,0.193337,0,0,0,0,0,0,0,0,0,0.136788,0,0,0,0,0,0.278756,0.291192,0.169853,0.193337,0.157291,0.203168,0,0,0,0,0,0.291192,0.278756,0,0,0,0,0,0,0
3087,0.141370,0.013479,0.013479,0.032090,0.001264,0,0.293148,0.288812,0.168913,0.167650,0.195029,0.177759,0,0,0,0,0,0,0,0,0,0.141370,0,0,0,0,0,0.288812,0.293148,0.167650,0.177759,0.168913,0.195029,0,0,0,0,0,0.293148,0.288812,0,0,0,0,0,0,0
3088,0.133995,0.013442,0.013442,0.028950,0.001222,0,0.291150,0.282051,0.165377,0.169450,0.193075,0.189002,0,0,0,0,0,0,0,0,0,0.133995,0,0,0,0,0,0.282051,0.291150,0.169450,0.189002,0.165377,0.193075,0,0,0,0,0,0.291150,0.282051,0,0,0,0,0,0,0
3090,0.198777,0.017857,0.017857,0.051988,0.000000,0,0.360856,0.373089,0.168367,0.183673,0.153061,0.209184,0,0,0,0,0,0,0,0,0,0.198777,0,0,0,0,0,0.373089,0.360856,0.183673,0.209184,0.168367,0.153061,0,0,0,0,0,0.360856,0.373089,0,0,0,0,0,0,0
3093,0.157159,0.014484,0.014484,0.037253,0.000630,0,0.314319,0.335274,0.170025,0.185139,0.182620,0.163728,0,0,0,0,0,0,0,0,0,0.157159,0,0,0,0,0,0.335274,0.314319,0.185139,0.163728,0.170025,0.182620,0,0,0,0,0,0.314319,0.335274,0,0,0,0,0,0,0
